SlNo,District Name,Kharif_AreaBefore bund correction factor,Kharif_AreaAfter bund correction factor,Kharif_Yield,Kharif_Production,Rabi_AreaBefore bund correction factor,Rabi_AreaAfter bund correction factor,Rabi_Yield,Rabi_Production,Summer_AreaBefore bund correction factor,Summer_AreaAfter bund correction factor,Summer_Yield,Summer_Production,All Seasons_AreaBefore bund correction factor,All Seasons_AreaAfter bund correction factor,All Seasons_Yield,All Seasons_Production
1,BAGALKOTE,63435,62166,4003,248852,12656,12403,3731,46275,5820,5704,3854,21982,81911,80273,3950,317109
2,BENGALURU - URBAN,771,756,5285,3993,5,5,3633,18,19,19,3562,66,795,779,5233,4077
3,BENGALURU - RURAL,5262,5157,3675,18951,109,107,3633,388,68,67,3562,237,5439,5330,3673,19577
4,BELAGAVI,141157,138334,4239,586397,49845,48848,4391,214492,11339,11112,3609,40104,202341,198294,4241,840993
5,BALLARI,211677,207443,3323,689335,6079,5957,3987,23752,396,388,3562,1382,218152,213789,3342,714469
6,BIDAR,687,673,1957,1318,175,172,3633,623,476,466,3562,1662,1338,1311,2747,3602
7,VIJAYAPURA,59108,57926,3191,184841,6072,5951,3008,17899,3158,3095,2792,8641,68338,66971,3156,211381
8,CHAMARAJANAGAR,25309,24803,3859,95714,6053,5932,3506,20797,3639,3566,3562,12703,35001,34301,3767,129214
9,CHICKBALLAPUR,50814,49798,2647,131815,1053,1032,4738,4889,1775,1740,3562,6196,53642,52569,2718,142900
10,CHIKMAGALUR,9416,9228,2702,24933,584,572,3633,2079,62,61,3562,216,10062,9861,2761,27229
11,CHITRADURGA,107257,105112,2617,275078,7752,7597,3813,28967,1583,1551,3562,5526,116592,114260,2709,309571
12,DAKSHINA KANNADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DAVANAGERE,129695,127101,3522,447650,2486,2436,3303,8047,1074,1053,3562,3749,133255,130590,3518,459446
14,DHARWAD,53945,52866,3780,199834,7375,7228,3827,27660,476,466,3986,1859,61796,60560,3787,229353
15,GADAG,99776,97780,2586,252860,7835,7678,2612,20056,354,347,3562,1236,107965,105806,2591,274152
16,KALBURGI,1829,1792,3248,5822,226,221,3633,805,126,123,3562,440,2181,2137,3306,7066
17,HASSAN,109697,107503,3636,390881,4773,4678,2303,10772,489,479,3562,1707,114959,112660,3580,403360
18,HAVERI,224890,220392,2802,617539,23551,23080,3143,72540,10544,10333,3562,36807,258985,253805,2864,726886
19,KODAGU,2211,2167,4211,9124,0,0,0,0,0,0,0,0,2211,2167,4211,9124
20,KOLAR,1218,1194,3231,3857,496,486,3633,1766,805,789,3562,2810,2519,2469,3416,8433
21,KOPPAL,101730,99695,2259,225212,8399,8231,2634,21681,761,746,3562,2656,110890,108672,2296,249549
22,MANDYA,4444,4355,2181,9499,823,807,3633,2930,1524,1494,3562,5320,6791,6655,2667,17749
23,MYSURU,49523,48533,3350,162584,6217,6093,2958,18022,971,952,3562,3390,56711,55577,3311,183996
24,RAICHUR,679,665,3454,2298,997,977,3452,3373,5,5,3562,17,1681,1647,3453,5689
25,RAMANAGARAM,3593,3521,2413,8497,343,336,3633,1221,120,118,3562,419,4056,3975,2550,10137
26,SHIVAMOGGA,46225,45301,4322,195789,424,416,4451,1849,7829,7672,3562,27329,54478,53388,4214,224967
27,TUMAKURU,29840,29243,1885,55123,760,745,1746,1300,249,244,3562,869,30849,30232,1895,57293
28,UDUPI,0,0,0,0,53,52,3633,189,0,0,0,0,53,52,3633,189
29,UTTARA KANNADA,7319,7173,4725,33891,1041,1020,3633,3706,724,710,3562,2527,9084,8902,4507,40124
30,YADGIR,59,58,3231,187,63,62,3633,224,36,35,3562,126,158,155,3467,537
NA,State Total,1541566,1510735,3231,4881872,156245,153120,3633,556322,54422,53334,3562,189977,1752233,1717188,3278,5628171
